Branch,Customer,Recency,Lifetime_pc,Exp_buy_range,C_latency,Buys_pd,Buy_days_pd,Buy_concentration,Spend_per_buy,Spend_pd,LM_P,LM_P_2,LM_P_3,Actual,Predict Actual,Spend,Error,ML error estimate
303,55815,6,0.9472222222222222,13.333333333333334,0.4499999999999999,0.3837209302325581,0.0813953488372093,4.714285714285714,21.44651515151515,8.229476744186046,4.39353860465116,7.432555151515151,1.7729563636363646,2668.42,518.8979035638642,2962.6116279069765,729.7344172658024,0.22451096218899436
526,55817,35,0.9,32.72727272727273,1.0694444444444444,0.0835734870317002,0.0345821325648415,2.4166666666666665,45.42241379310345,3.7961095100864553,0.2812152727272732,0.0542836363636364,1.5323212121212122,2255.53,1357.4786046295335,1366.599423631124,38.26664908320981,0.5166263672999982
344,55819,4,1.0,1.348314606741573,2.966666666666667,9.110803324099724,0.7313019390581718,12.458333333333334,27.106451809060506,246.9615512465374,179.59553477109048,133.35070424242423,88.18526909090909,55546.68,61400.8689477056,88906.15844875346,5854.188947705603,0.09553829197687806
168,55825,12,0.9222222222222224,14.4,0.8333333333333333,0.1769911504424778,0.0766961651917404,2.3076923076923075,36.0665,6.383451327433628,2.0224533962635207,9.619693333333334,10.016831515151516,956.95,2522.640918408384,2298.042477876106,1565.690918408384,0.46452755303987675
1572,55849,11,0.9583333333333334,4.864864864864865,2.261111111111111,0.9971509971509972,0.2136752136752136,4.666666666666667,42.179828571428565,42.05965811965812,36.9112762911163,17.503515151515145,20.69929818181818,11301.46,4977.722629318356,15141.476923076922,2809.9357296563594,0.13177185309875594
926,55863,4,0.925,5.714285714285714,0.7,0.5658682634730539,0.1886227544910179,3.0,191.3478306878307,108.27766467065868,197.4041697027763,143.0509090909091,111.48104484848486,22570.620000000003,26445.058864466147,38979.95928143713,3874.438864466145,0.0745123776174879
154,55867,7,0.9222222222222224,4.556962025316456,1.536111111111111,0.7113095238095238,0.238095238095238,2.9875000000000003,35.19242677824268,25.03270833333333,25.94195643867244,4.699659636363636,0.2190130909090905,6420.41,6038.4640390983395,9011.774999999998,29.83875976190575,0.19069413709780514
402,55893,15,0.95,12.0,1.25,0.1704545454545454,0.0852272727272727,2.0,8.254166666666668,1.4069602272727273,1.4828264159779612,0.9993018181818184,0.0263301818181817,598.47,655.8376529585892,506.5056818181818,57.36765295858913,0.3167094229722991
221,55900,7,0.9611111111111112,13.333333333333334,0.525,0.7714285714285715,0.08,9.642857142857142,31.36614814814815,24.19674285714286,61.90494400000001,90.206976969697,54.36676242424242,6663.99,8687.629734769402,8710.827428571429,2023.639734769402,0.2428402517684629
504,55909,48,0.8555555555555555,27.692307692307693,1.7333333333333332,0.0735294117647058,0.0411764705882352,1.7857142857142858,13.0792,0.9617058823529412,0.0,0.3348436363636363,0.0,285.73,221.4818269344124,346.21411764705886,16.911396411213616,0.22022516407436749
222,55938,13,0.675,17.142857142857142,0.7583333333333333,0.3067729083665338,0.0836653386454183,3.666666666666667,12.092207792207793,3.709561752988048,12.334887079560549,4.116033939393939,7.265727272727272,1927.52,332.503020945337,1335.4422310756972,939.125310025388,0.7760473144160932
