Customer,Predicted_spend,Testing_spend,Std_dev,Training_spend,MSE,MAE,Slope,Branch,Bus_Type_spend,Bus_Type_ID,Train_spend_pd,Test_spend_pd,Predict_spend_pd,Predict_ratio,Spend_decrease,Actual_ratio
71424,0.0,0.0,111.23114266098072,542.5966166798064,9291.471529284348,73.06772353076266,-14.94904013789534,1092.0,8589952.030000001,248,1.808655388932688,0.0,0.0,0.0,1.808655388932688,1.0
152674,61.71057911088701,38.19,378.2969527903458,1532.8934194651863,126996.50489167515,211.7936494697364,-14.775988506090412,1451.0,8589952.030000001,248,5.109644731550621,0.7637999999999999,1.2342115822177402,0.2415454786116205,4.3458447315506215,1.6158831922201369
117262,0.0,0.0,67.47780185283493,346.8152880762901,2311.42019996645,34.596751398444155,-14.715517139503644,321.0,8589952.030000001,248,1.1560509602543003,0.0,0.0,0.0,1.1560509602543003,1.0
127205,148.918039206094,110.09,374.9326730565123,2412.3035166865266,124917.63766808568,314.46096280934324,-13.923691276015155,375.0,8589952.030000001,248,8.041011722288422,2.2018,2.97836078412188,0.3703962743725806,5.839211722288422,1.352693607104133
150814,5.78331724272573,2614.63,155.24547324374976,850.889017920881,20179.839725368947,108.3545046128414,-13.534250787110429,281.0,8589952.030000001,248,2.8362967264029364,52.2926,0.1156663448545146,0.0407807630907523,-49.456303273597065,0.0022119065576107
75746,113.76969411675252,82.91,235.8415803602208,2007.6473650174132,48573.529710150586,176.3530390896809,-13.419100877504333,324.0,8589952.030000001,248,6.692157883391378,1.6582,2.2753938823350506,0.3400089958998324,5.033957883391378,1.3722071416807686
80576,0.0,0.0,68.97697921978045,312.1183053505962,2855.321095866834,41.05068542220626,-13.150505003279648,461.0,8589952.030000001,248,1.040394351168654,0.0,0.0,0.0,1.040394351168654,1.0
91400,0.0,0.0,75.3201727333555,360.86651384137457,3679.760028470852,39.5685867076385,-13.14744150731584,1092.0,8589952.030000001,248,1.2028883794712486,0.0,0.0,0.0,1.2028883794712486,1.0
9042,265.7478638933184,86.41,239.4340905676535,3607.8695967870894,50185.119944058046,181.7149200170801,-13.07644381879491,381.0,8589952.030000001,248,12.0262319892903,1.7282,5.314957277866367,0.4419470107178613,10.2980319892903,3.0754295092387265
266048,0.0,0.0,225.3278677914989,712.549282530431,44310.67462120425,124.37223840531158,-12.955441500553292,304.0,8589952.030000001,248,2.375164275101437,0.0,0.0,0.0,2.375164275101437,1.0
80950,0.0,36.39,64.48963275505831,532.9983937377381,2364.489451347867,38.95027229881374,-12.926514954864146,323.0,8589952.030000001,248,1.7766613124591268,0.7278,0.0,0.0,1.0488613124591268,0.0
125370,0.0,0.0,69.0174427784808,410.1333152228492,2941.951430811594,44.84399522376423,-12.768879004931028,1409.0,8589952.030000001,248,1.3671110507428308,0.0,0.0,0.0,1.3671110507428308,1.0
