Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
37529,6882.186727272727,46.98539393939392,46.98539393939392,71359.04,75634.74939393939,72362.51632514985,58007.506946855894,88121.43000000001,12486.680606060618,15758.913674850162,30113.923053144114,1,0,0
17927,2236.209272727273,48.5499393939394,48.5499393939394,24546.84,29401.83393939394,27244.80206995226,19536.263110239626,24426.43,4975.403939393938,2818.37206995226,4890.166889760374,0,1,0
43272,4966.023454545454,50.73812121212116,50.73812121212116,52020.06999999999,57017.26212121211,54360.13246676521,42371.9858386175,40167.72,16849.542121212107,14192.412466765207,2204.2658386174953,0,0,1
71018,3028.6420000000003,52.49933333333333,52.49933333333333,32648.89,37898.82333333333,36504.11860036361,26781.802062114177,14646.23,23252.593333333327,21857.88860036361,12135.572062114177,0,0,1
50228,1077.4783636363636,52.95036363636363,52.95036363636363,13157.55,18452.58636363636,18921.09806070027,11250.23628330641,10239.79,8212.79636363636,8681.30806070027,1010.4462833064099,0,0,1
48668,1867.482545454546,53.689878787878776,53.689878787878776,21090.870000000003,26459.85787878788,24481.28740457398,16925.71231287616,28818.91,2359.0521212121203,4337.622595426019,11893.19768712384,1,0,0
98567,1484.4821818181815,53.80818181818184,53.80818181818184,17506.5,22647.008181818182,22466.302749588423,14562.69515612151,5930.69,16716.318181818184,16535.612749588425,8632.005156121511,0,0,1
112397,1125.6434545454542,55.70545454545456,55.70545454545456,13763.18,19333.725454545453,17355.56859149948,10878.053891181407,18345.57,988.1554545454528,990.0014085005205,7467.516108818592,1,0,0
100326,1129.458,57.53666666666668,57.53666666666668,13883.73,19637.396666666664,19500.334021331757,11798.189912449816,10468.57,9168.826666666664,9031.764021331757,1329.6199124498162,0,0,1
115322,1711.599818181818,57.627818181818185,57.627818181818185,20380.42,25472.03181818181,24299.030961796616,16545.226779136094,21146.59,4325.441818181811,3152.4409617966157,4601.3632208639065,0,1,0
71403,1929.7585454545456,58.14454545454544,58.14454545454544,23039.93,27728.54454545454,26533.963602891818,18597.98460917009,24741.55,2986.9945454545414,1792.4136028918183,6143.56539082991,0,1,0
77768,3420.25709090909,58.69709090909093,58.69709090909093,36843.94,42713.649090909086,43720.698352865766,31513.80451029491,17382.559999999998,25331.08909090909,26338.138352865768,14131.244510294913,0,0,1
95767,7406.627454545455,59.09078787878781,59.09078787878781,76792.53,82634.43878787878,78121.6425214333,62684.26908317624,63719.43,18915.00878787878,14402.2125214333,1035.1609168237628,0,0,1
82758,461.06254545454544,60.9998787878788,60.9998787878788,7355.619999999999,13455.60787878788,13245.678231435322,6448.290304270427,13795.61,340.002121212121,549.9317685646784,7347.319695729573,1,0,0
28820,477.1723636363637,63.70103030303029,63.70103030303029,7638.27,14008.37303030303,14032.355060662652,6888.723458225206,9519.47,4488.90303030303,4512.885060662653,2630.7465417747935,0,0,1
73330,542.012181818182,64.41284848484848,64.41284848484848,8318.7,14759.98484848485,13947.719842233137,7148.224520009069,2941.88,11818.10484848485,11005.839842233137,4206.344520009069,0,0,1
62521,6830.988363636364,67.94103030303032,67.94103030303032,71776.19,78161.33303030304,76616.3862280991,59909.35003427917,62530.32000000001,15631.013030303031,14086.066228099095,2620.9699657208403,0,0,1
96833,554.7603636363635,70.27169696969698,70.27169696969698,8782.11,15736.999696969697,16031.218174824173,8191.583190798308,7638.62,8098.379696969697,8392.598174824172,552.9631907983085,0,0,1
87666,7126.303272727273,70.5666060606061,70.5666060606061,74438.53,81495.19060606061,77175.16524607132,61284.907992502835,74911.23000000001,6583.960606060602,2263.9352460713126,13626.322007497176,0,1,0
101889,1868.2045454545453,71.16254545454545,71.16254545454545,21884.36,29000.614545454544,28845.356989336407,19034.633148539862,30559.18,1558.5654545454563,1713.8230106635929,11524.546851460138,1,0,0
35866,838.4236363636364,71.43963636363637,71.43963636363637,11599.02,18742.98363636364,16717.683625657082,9685.553496568871,5308.66,13434.323636363639,11409.023625657082,4376.893496568871,0,0,1
85398,2489.315818181819,73.8404848484848,73.8404848484848,28215.980000000003,35600.02848484849,33102.118046140546,23491.057492515036,23930.42,11669.60848484849,9171.698046140547,439.3625074849624,0,0,1
39226,1272.898,74.24199999999999,74.24199999999999,16069.87,23494.07,23740.17190303204,14458.066723233336,17479.43,6014.639999999999,6260.741903032038,3021.363276766664,0,0,1
14172,3444.367272727273,74.52060606060603,74.52060606060603,37944.65,45249.1606060606,44898.038016652674,32465.533176296027,39750.96000000001,5498.200606060593,5147.078016652667,7285.42682370398,0,1,0
90073,4259.748181818182,75.23218181818186,75.23218181818186,46332.99,53506.14818181819,54091.318197281376,39807.941872919575,52370.93,1135.2181818181925,1720.388197281376,12562.988127080425,1,0,0
74222,1937.8345454545456,76.33921212121214,76.33921212121214,22951.88,30447.531212121216,29880.169673027063,19914.34527258952,18326.300000000003,12121.231212121213,11553.86967302706,1588.0452725895157,0,0,1
