Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,LASSO_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_LASSO,LASSO,Unseasoned_LM,Season_LM
35887,3529.0341818181814,90.64218181818188,90.64218181818188,39369.24,48433.458181818176,46327.25936618397,37970.487064606044,24533.97,23899.488181818175,21793.28936618397,13436.517064606043,1,0,0
100807,1003.8469090909088,90.6909090909091,90.6909090909091,14125.43,23188.65090909091,21605.044073371933,9945.407456542542,12991.52,10197.130909090909,8613.524073371933,3046.1125434574587,1,0,0
67344,946.167818181818,-90.74751515151516,90.74751515151516,5378.04,38.69266666666658,29.21610793455876,5651.325841396256,1851.82,1813.1273333333334,1822.6038920654412,3799.505841396256,0,1,0
112374,1551.7234545454544,-90.77054545454544,90.77054545454544,11432.56,2610.568727272729,2630.1329901469403,12170.87587422854,19048.3,16437.73127272727,16418.16700985306,6877.424125771458,1,0,0
113317,-47.21327272727274,91.0700606060606,91.0700606060606,3626.02,12733.026060606062,12205.400589378369,5073.00504387434,7221.15,5511.876060606062,4984.250589378369,2148.1449561256595,1,0,0
65601,239.1894545454545,91.35012121212124,91.35012121212124,6502.650000000001,15637.662121212124,16183.095113296566,8695.460652009222,3649.87,11987.792121212125,12533.225113296565,5045.590652009222,1,0,0
128489,2860.0005454545458,91.54587878787872,91.54587878787872,33118.57,41874.15787878787,40546.8361316333,29364.141578296665,15946.6,25927.55787878787,24600.236131633304,13417.541578296665,1,0,0
50641,6690.049636363636,-91.6083636363636,91.6083636363636,63036.39,53617.28363636363,53004.00020983325,55705.46255482935,73749.46,20132.176363636376,20745.45979016676,18043.99744517066,1,0,0
116815,1635.8529090909092,-91.81109090909092,91.81109090909092,12227.03,3171.225454545453,3126.729540000872,14463.554413502448,9462.64,6291.414545454547,6335.910459999128,5000.914413502449,1,0,0
71626,1917.4087272727277,92.3747272727273,92.3747272727273,23334.48,32568.42272727273,29975.71793542216,24954.472471777015,32725.06,156.63727272727192,2749.3420645778424,7770.587528222986,0,1,0
100422,3578.8661818181818,-92.55315151515154,92.55315151515154,31735.66,22368.45484848484,21412.60068774833,22511.219295330535,82643.48000000001,60275.025151515176,61230.87931225168,60132.260704669476,1,0,0
124458,1624.3336363636363,-92.97369696969696,92.97369696969696,12059.52,2953.5098181818184,2647.875972025728,7665.603968808997,5458.28,2504.7701818181813,2810.4040279742717,2207.323968808997,1,0,0
69280,630.1469090909092,-93.61309090909091,93.61309090909091,2088.88,0.0,0.0,-821.7104206724962,0.0,0.0,0.0,821.7104206724962,0,0,0
82657,1004.086,-94.02733333333332,94.02733333333332,5809.630000000001,63.8126666666667,63.42712393332905,7360.009637222329,4144.240000000001,4080.427333333334,4080.812876066672,3215.769637222328,1,0,0
68860,67.93345454545448,94.53012121212124,94.53012121212124,4933.19,14386.202121212124,13789.830494982602,6972.986935493505,5351.69,9034.512121212123,8438.140494982603,1621.2969354935058,1,0,0
95364,-104.59709090909088,94.72157575757576,94.72157575757576,3216.5000000000005,12688.657575757576,11373.96949363115,4891.303408580707,2294.21,10394.447575757575,9079.75949363115,2597.0934085807066,1,0,0
62432,-27.33545454545458,94.8038787878788,94.8038787878788,3992.82,13473.207878787882,13070.95156855617,6240.164882247065,6422.620000000002,7050.58787878788,6648.331568556167,182.45511775293653,1,0,0
92086,2287.6067272727278,94.82072727272728,94.82072727272728,27143.0,36625.07272727272,35111.31918466069,27999.235677432873,19153.66,17471.412727272724,15957.659184660693,8845.575677432873,1,0,0
71560,-85.35563636363628,95.33569696969695,95.33569696969695,3436.55,12970.119696969696,13038.419638372545,5174.223361522496,4024.22,8945.899696969696,9014.199638372545,1150.003361522496,1,0,0
10473,-112.82,95.61533333333333,95.61533333333333,3433.4,12736.023333333333,9577.94950762492,5083.747068506449,2785.45,9950.573333333334,6792.499507624921,2298.2970685064492,1,0,0
100326,3111.363636363636,95.630303030303,95.630303030303,36179.84,44980.0303030303,44997.26367128042,33074.76224050532,29857.47,15122.560303030295,15139.793671280422,3217.2922405053177,1,0,0
45069,-20.850363636363568,96.46696969696968,96.46696969696968,4132.51,13779.206969696968,12313.870991471324,5918.163390568248,6243.360000000001,7535.846969696968,6070.510991471323,325.1966094317522,1,0,0
60388,-27.133272727272697,96.46739393939392,96.46739393939392,4069.7,13716.439393939392,12755.558966493923,6469.057158086844,494.4200000000001,13222.019393939392,12261.138966493923,5974.637158086844,1,0,0
48876,1421.710909090909,-96.57242424242423,96.57242424242423,9871.35,1314.2090909090898,1220.261807235192,11618.494573064929,7418.44,6104.230909090909,6198.178192764808,4200.054573064929,1,0,0
113382,4623.336000000001,-96.61933333333334,96.61933333333334,42304.19,32223.55666666668,26700.044549877453,31970.6486407766,11064.03,21159.52666666668,15636.014549877453,20906.6186407766,0,0,1
71009,145.6396363636362,96.7296363636364,96.7296363636364,5809.2300000000005,15482.19363636364,9585.407725502251,1269.8300193346568,1951.03,13531.163636363639,7634.377725502251,681.1999806653432,1,0,0
38668,2275.016363636364,-97.220303030303,97.220303030303,18392.41,8653.219696969702,7928.257439002103,18983.72734914605,44133.51,35480.2903030303,36205.2525609979,25149.78265085395,1,0,0
92866,992.955818181818,-97.39951515151516,97.39951515151516,5546.58,18.96066666666661,18.58564104034373,5035.923083002648,3034.07,3015.109333333334,3015.484358959656,2001.853083002648,1,0,0
101701,761.0892727272726,-97.6040606060606,97.6040606060606,3218.71,0.0,0.0,647.6577912718567,7627.44,7627.44,7627.44,6979.782208728143,1,0,0
99633,1572.1081818181815,97.79151515151518,97.79151515151518,20366.26,29900.85151515152,28618.141790632704,22687.45422114044,18089.76,11811.091515151522,10528.381790632706,4597.694221140442,1,0,0
100477,1691.2869090909091,-97.91575757575755,97.91575757575755,12506.66,2955.3934545454576,2828.9653604440987,16409.56752829232,10920.03,7964.636545454543,8091.0646395559015,5489.537528292318,1,0,0
118957,1652.6407272727272,97.9220606060606,97.9220606060606,20932.9,30725.10606060606,28451.67163683088,22136.23040112399,31303.42,578.3139393939382,2851.7483631691175,9167.189598876008,0,1,0
97033,781.3872727272727,97.9579393939394,97.9579393939394,12221.98,22017.77393939394,19939.22285311742,15681.48653054785,13640.59,8377.18393939394,6298.632853117419,2040.8965305478505,1,0,0
73791,3461.3127272727274,-98.67860606060604,98.67860606060604,30176.11,20304.7293939394,19885.33573175376,35384.68326897069,23886.94,3582.2106060605984,4001.6042682462394,11497.743268970695,0,1,0
56829,-196.692909090909,98.89842424242424,98.89842424242424,2490.7200000000003,12373.342424242424,11854.998171497316,3663.9292415879518,822.74,11550.602424242425,11032.258171497317,2841.189241587952,1,0,0
112099,2428.092000000001,99.00866666666664,99.00866666666664,28736.31,38637.176666666666,34134.86103392104,24492.21671273937,21536.54,17100.636666666665,12598.321033921042,2955.6767127393687,1,0,0
61697,5446.064363636364,99.16236363636364,99.16236363636364,59464.97,68839.18636363636,65179.65313815509,57947.69716163049,70611.36000000002,1772.1736363636592,5431.706861844927,12663.662838369528,0,1,0
101424,81.96581818181818,99.23915151515152,99.23915151515152,5285.42,15209.33515151515,16109.599074123216,8233.409265862732,11594.93,3614.4051515151496,4514.669074123216,3361.520734137268,1,0,0
37565,4038.114727272728,-99.4459393939394,99.4459393939394,35906.08,25961.48606060606,24360.5132316208,17357.608897704464,27884.78,1923.2939393939378,3524.2667683791988,10527.171102295535,0,1,0
95060,3188.804727272727,99.54406060606058,99.54406060606058,36367.53,46321.93606060605,44855.78731210691,28734.122937201006,16093.7,30228.23606060605,28762.087312106913,12640.422937201005,1,0,0
84763,149.6525454545453,100.03054545454548,100.03054545454548,5997.9,16000.954545454548,15480.965348433472,7667.301335115555,1452.7700000000002,14548.184545454547,14028.195348433472,6214.531335115555,1,0,0
35555,4335.834363636363,-100.0576363636364,100.0576363636364,39802.350000000006,28849.986363636355,26908.1997204596,39030.422105622776,36754.41,7904.423636363648,9846.210279540403,2276.0121056227727,1,0,0
125985,680.6430909090907,-100.24757575757572,100.24757575757572,2295.29,0.0,0.0,-246.20072418879136,0.0,0.0,0.0,246.20072418879136,0,0,0
36109,2063.734909090909,-100.35909090909097,100.35909090909097,16383.0,6085.280909090904,6015.457564628615,17102.485813371415,22664.75,16579.469090909097,16649.292435371386,5562.264186628585,1,0,0
76280,2556.4538181818184,-100.36484848484848,100.36484848484848,21374.82,11011.635151515156,10076.34963221898,18777.207311454753,35378.19,24366.554848484848,25301.84036778102,16600.98268854525,1,0,0
78476,4322.390545454547,100.37121212121208,100.37121212121208,47796.880000000005,57777.731212121216,59224.63818749342,36999.0879665062,34744.79,23032.941212121215,24479.848187493422,2254.297966506201,1,0,0
64145,1986.9816363636364,-100.42436363636364,100.42436363636364,15362.72,5308.283636363634,4474.160263296908,15554.851042883203,4100.54,1207.7436363636343,373.620263296908,11454.311042883204,0,0,1
17545,1244.4696363636365,-100.56703030303032,100.56703030303032,8286.36,414.69690909090855,395.221532722096,7615.407809260292,2391.5199999999995,1976.823090909091,1996.2984672779035,5223.887809260293,0,1,0
70374,1039.9834545454546,-101.97054545454544,101.97054545454544,5811.16,20.278000000000134,18.886567031573804,5518.157476383347,2536.53,2516.252,2517.643432968426,2981.6274763833467,0,1,0
90689,2361.913454545455,-102.0518787878788,102.0518787878788,19026.8,8821.612121212125,7988.218654030986,20218.082732706986,5804.5,3017.112121212125,2183.718654030986,14413.582732706986,0,0,1
80789,1032.5383636363636,-102.26696969696968,102.26696969696968,5723.369999999999,9.86866666666674,8.63082370253906,3324.2990322630594,1765.57,1755.7013333333332,1756.9391762974608,1558.7290322630595,1,0,0
82367,899.1305454545454,-102.72145454545456,102.72145454545456,4368.84,0.0,0.0,2267.3573882270484,4374.42,4374.42,4374.42,2107.0626117729516,1,0,0
71590,1796.096727272727,-103.02327272727274,103.02327272727274,13324.92,3242.260363636363,3116.3900268075326,14651.708045483227,8542.07,5299.809636363637,5425.6799731924675,6109.638045483227,0,1,0
65015,589.6347272727274,103.57406060606058,103.57406060606058,10557.18,20914.586060606056,18694.819472821207,12268.27649510923,7003.4,13911.186060606056,11691.419472821208,5264.876495109231,1,0,0
57889,248.6572727272727,103.7899393939394,103.7899393939394,7157.12,17536.11393939394,16124.5109590623,7525.874333490874,3462.689999999999,14073.423939393942,12661.820959062301,4063.184333490875,1,0,0
80661,1876.558727272727,104.82606060606062,104.82606060606062,23482.76,33965.36606060606,28682.36151621472,20488.13610058186,7349.12,26616.24606060606,21333.241516214723,13139.016100581863,1,0,0
102609,1600.975636363636,105.53163636363642,105.53163636363642,20758.68,31311.84363636364,28020.19243468592,19583.88289678564,1685.44,29626.40363636364,26334.75243468592,17898.44289678564,1,0,0
54301,466.8990909090909,105.81242424242426,105.81242424242426,9430.55,20011.792424242427,18877.539500316874,10599.931302352246,12794.54,7217.252424242426,6082.999500316873,2194.6086976477545,1,0,0
92897,7531.930909090909,-105.96709090909089,105.96709090909089,70550.79000000001,59954.08090909092,54054.29569180228,49091.15906030796,74114.22,14160.139090909084,20059.92430819772,25023.06093969204,0,1,0
138195,1847.306545454545,106.0058787878788,106.0058787878788,23257.0,33843.91787878788,32480.50772424436,23257.645869834472,39186.54,5342.622121212124,6706.032275755642,15928.894130165529,0,1,0
45115,598.0747272727269,106.00939393939396,106.00939393939396,10860.22,21352.10939393939,20642.023442991336,13776.166239711698,14722.15,6629.959393939391,5919.873442991337,945.9837602883017,1,0,0
33080,-229.53581818181823,106.26618181818182,106.26618181818182,2486.62,13113.238181818182,12596.121635646516,5495.578420296375,2819.17,10294.068181818182,9776.951635646516,2676.408420296375,1,0,0
9378,3091.5052727272728,-106.46472727272725,106.46472727272725,26282.78,15477.667272727276,14936.5313785511,22314.794548230922,10246.63,5231.037272727277,4689.9013785511015,12068.164548230923,0,0,1
92905,2107.4260000000004,-106.52933333333335,106.52933333333335,16280.44,5627.506666666665,5243.827446176714,14837.60461207872,6248.799999999999,621.293333333334,1004.9725538232851,8588.80461207872,0,1,0
95240,868.956,106.81266666666669,106.81266666666669,13496.13,24177.396666666667,23189.741546707904,16451.506582484042,18792.26,5385.136666666669,4397.481546707906,2340.7534175159562,1,0,0
87254,-267.7578181818184,108.03018181818186,108.03018181818186,2183.78,12986.798181818189,12511.846055287047,2796.098712609213,15505.37,2518.571818181812,2993.5239447129534,12709.271287390788,0,1,0
120705,5140.184000000001,108.1579999999999,108.1579999999999,56268.95,67084.75,56716.83955945802,25815.468244160416,86568.15,19483.399999999994,29851.310440541973,60752.68175583958,0,1,0
