Customers,Intercept,Coef,ABSCoef,Spend,Unseasoned,Predicted,linear_output,Actual,ABS_diff_unseasoned,ABS_diff_Predicted,ABS_diff_linear_output,Unseasoned_diff,Season_diff,linear_output_diff
69573,2152.8109090909093,-46.44175757575759,46.44175757575759,19514.73,14794.05424242424,13615.159185906175,20564.721055224538,20413.64,5619.58575757576,6798.480814093824,151.08105522453843,0,0,1
17927,2236.209272727273,48.5499393939394,48.5499393939394,24546.84,29401.83393939394,27244.80206995226,17621.70795944219,24426.43,4975.403939393938,2818.37206995226,6804.722040557812,0,1,0
29848,3589.528,-50.52066666666666,50.52066666666666,33621.85,28569.78333333333,27405.24730711185,19501.66365619009,46362.89,17793.10666666667,18957.64269288815,26861.22634380991,1,0,0
97595,1113.8016363636364,-51.27769696969696,51.27769696969696,8904.64,3702.750303030304,2618.8186735579384,15471.21103315243,13786.45,10083.699696969696,11167.631326442062,1684.7610331524302,0,0,1
50228,1077.4783636363636,52.95036363636363,52.95036363636363,13157.55,18452.58636363636,18921.09806070027,10187.301887635695,10239.79,8212.79636363636,8681.30806070027,52.48811236430629,0,0,1
98567,1484.4821818181815,53.80818181818184,53.80818181818184,17506.5,22647.008181818182,22466.302749588423,12153.341821035516,5930.69,16716.318181818184,16535.612749588425,6222.651821035516,0,0,1
80626,5746.220363636363,-54.20030303030302,54.20030303030302,55160.92,49603.15969696969,48238.69190627025,34847.49726496802,52287.08,2683.9203030303106,4048.388093729751,17439.58273503198,1,0,0
35910,2897.9863636363634,54.59236363636367,54.59236363636367,31436.52,36895.75636363637,36461.94771060879,21305.77068466295,11160.03,25735.72636363637,25301.91771060879,10145.740684662951,0,0,1
18726,1772.2067272727274,55.317393939393945,55.317393939393945,20211.35,25743.0893939394,23229.727529089043,20239.00127155624,11408.56,14334.529393939401,11821.167529089043,8830.441271556241,0,0,1
110379,1701.8821818181818,-58.244484848484845,58.244484848484845,14397.820000000002,8573.371515151517,7960.484109187226,10758.657191502825,5616.070000000001,2957.3015151515165,2344.414109187225,5142.587191502825,0,1,0
61943,1112.4614545454544,-67.92054545454545,67.92054545454545,8122.19,1606.4605454545454,1646.0665455214692,13635.20929080918,5436.880000000001,3830.4194545454557,3790.8134544785316,8198.329290809179,0,1,0
5036,2426.4005454545454,-70.64345454545453,70.64345454545453,21259.52,14020.704545454546,14756.502733421148,17904.958642657322,17299.18,3278.4754545454543,2542.677266578852,605.778642657322,0,0,1
63448,3840.780545454545,-72.15745454545448,72.15745454545448,35160.72,27944.97454545455,26814.767402102963,26842.972823632124,27711.23,233.74454545454864,896.4625978970362,868.2571763678752,1,0,0
75788,2138.7838181818183,-72.16284848484848,72.16284848484848,18191.2,10924.225151515153,10362.620355624083,18217.659995017253,16838.14,5913.9148484848465,6475.519644375916,1379.5199950172537,0,0,1
114897,1498.847090909091,72.16575757575757,72.16575757575757,18235.93,25452.50575757576,26619.20447318341,25494.12603203331,14523.75,10928.75575757576,12095.45447318341,10970.37603203331,1,0,0
39226,1272.898,74.24199999999999,74.24199999999999,16069.87,23494.07,23740.17190303204,16658.05914368666,17479.43,6014.639999999999,6260.741903032038,821.3708563133405,0,0,1
56098,2479.726909090909,76.31957575757576,76.31957575757576,28242.11,35863.607575757575,34216.6289590153,25995.007226057416,15749.309999999998,20114.297575757577,18467.318959015305,10245.697226057418,0,0,1
63568,1176.461090909091,-78.43490909090907,78.43490909090907,8235.04,1176.210909090909,1128.8506153593064,10372.468818148744,5279.0,4102.789090909091,4150.149384640694,5093.468818148744,1,0,0
1033,1466.7661818181818,-79.92381818181818,79.92381818181818,11203.94,3130.4945454545464,2817.6161041822866,15851.44086425459,13877.11,10746.615454545454,11059.493895817714,1974.330864254589,0,0,1
161657,1642.7147272727273,-81.76327272727274,81.76327272727274,12747.8,4571.472727272725,4500.53001772784,13009.897982483875,15894.19,11322.717272727275,11393.659982272162,2884.2920175161253,0,0,1
